Tag;Stunde;AVG_TA200
28.12.2022;03:00;7,40
28.12.2022;04:00;8,42
28.12.2022;05:00;8,96
28.12.2022;06:00;8,57
28.12.2022;07:00;8,24
28.12.2022;08:00;8,30
28.12.2022;09:00;8,34
28.12.2022;10:00;9,53
28.12.2022;11:00;10,23
28.12.2022;12:00;10,57
28.12.2022;13:00;11,64
28.12.2022;14:00;11,82
28.12.2022;15:00;11,63
28.12.2022;16:00;11,34
28.12.2022;17:00;11,90
28.12.2022;18:00;11,53
28.12.2022;19:00;13,17
28.12.2022;20:00;13,88
28.12.2022;21:00;13,78
28.12.2022;22:00;13,55
28.12.2022;23:00;13,87
29.12.2022;00:00;14,31
29.12.2022;01:00;14,23
29.12.2022;02:00;13,94
29.12.2022;03:00;13,23
29.12.2022;04:00;12,88
29.12.2022;05:00;12,78
29.12.2022;06:00;13,55
29.12.2022;07:00;14,15
29.12.2022;08:00;14,46
29.12.2022;09:00;14,09
29.12.2022;10:00;13,60
29.12.2022;11:00;12,62
29.12.2022;12:00;13,14
29.12.2022;13:00;13,27
29.12.2022;14:00;13,41
29.12.2022;15:00;12,84
29.12.2022;16:00;12,67
29.12.2022;17:00;11,98
29.12.2022;18:00;10,93
29.12.2022;19:00;11,28
29.12.2022;20:00;11,52
29.12.2022;21:00;10,08
29.12.2022;22:00;8,32
29.12.2022;23:00;8,39
30.12.2022;00:00;8,09
30.12.2022;01:00;7,97
30.12.2022;02:00;7,76
30.12.2022;03:00;6,75
30.12.2022;04:00;7,14
30.12.2022;05:00;6,45
30.12.2022;06:00;6,54
30.12.2022;07:00;6,13
30.12.2022;08:00;4,87
30.12.2022;09:00;5,28
30.12.2022;10:00;7,12
30.12.2022;11:00;9,01
30.12.2022;12:00;10,19
30.12.2022;13:00;12,12
30.12.2022;14:00;12,44
30.12.2022;15:00;12,78
30.12.2022;16:00;12,71
30.12.2022;17:00;13,66
30.12.2022;18:00;14,47
30.12.2022;19:00;14,68
30.12.2022;20:00;14,36
30.12.2022;21:00;14,77
30.12.2022;22:00;15,17
30.12.2022;23:00;15,51
31.12.2022;00:00;16,25
31.12.2022;01:00;16,66
31.12.2022;02:00;16,89
31.12.2022;03:00;16,00
31.12.2022;04:00;16,10
31.12.2022;05:00;17,00
31.12.2022;06:00;16,69
31.12.2022;07:00;17,26
31.12.2022;08:00;17,72
31.12.2022;09:00;18,34
31.12.2022;10:00;19,00
31.12.2022;11:00;19,92
31.12.2022;12:00;20,23
31.12.2022;13:00;19,28
31.12.2022;14:00;17,87
31.12.2022;15:00;17,32
31.12.2022;16:00;15,75
31.12.2022;17:00;14,33
31.12.2022;18:00;13,31
31.12.2022;19:00;12,68
31.12.2022;20:00;12,91
31.12.2022;21:00;13,82
31.12.2022;22:00;15,30
31.12.2022;23:00;15,62
01.01.2023;00:00;15,88
01.01.2023;01:00;14,98
01.01.2023;02:00;15,04
01.01.2023;03:00;14,83
01.01.2023;04:00;14,31
01.01.2023;05:00;14,65
01.01.2023;06:00;12,43
01.01.2023;07:00;12,83
01.01.2023;08:00;11,18
01.01.2023;09:00;10,93
01.01.2023;10:00;13,04
01.01.2023;11:00;15,52
01.01.2023;12:00;17,23
01.01.2023;13:00;17,35
01.01.2023;14:00;17,47
01.01.2023;15:00;17,74
01.01.2023;16:00;15,37
01.01.2023;17:00;12,52
01.01.2023;18:00;10,96
01.01.2023;19:00;13,62
01.01.2023;20:00;16,18
01.01.2023;21:00;15,36
01.01.2023;22:00;11,64
01.01.2023;23:00;10,74
02.01.2023;00:00;10,52
02.01.2023;01:00;11,10
02.01.2023;02:00;9,35
02.01.2023;03:00;9,44
02.01.2023;04:00;9,74
02.01.2023;05:00;9,86
02.01.2023;06:00;10,60
02.01.2023;07:00;10,77
02.01.2023;08:00;10,75
02.01.2023;09:00;10,92
02.01.2023;10:00;13,26
02.01.2023;11:00;15,79
02.01.2023;12:00;15,92
02.01.2023;13:00;16,25
02.01.2023;14:00;15,68
02.01.2023;15:00;13,83
02.01.2023;16:00;12,16
02.01.2023;17:00;12,96
02.01.2023;18:00;12,51
02.01.2023;19:00;11,34
02.01.2023;20:00;11,06
02.01.2023;21:00;10,68
02.01.2023;22:00;9,80
02.01.2023;23:00;9,25
03.01.2023;00:00;9,13
03.01.2023;01:00;8,74
03.01.2023;02:00;8,48
03.01.2023;03:00;8,09
03.01.2023;04:00;7,95
03.01.2023;05:00;7,88
03.01.2023;06:00;7,67
